name,firstName,country,title,studio,duration,year,category,genre,award,addon,
COULOMBE St MARCOUX ,Micheline,Canada,Miroirs,,0:10:30,1979,Mixte,,M,,
KUBO,Mayako,Japon,Iterum meditemur (pour trombone et bande),,0:14:30,1979,Mixte,,M,,
SEGERS,Jean,Belgique,Study for horn and tape,,0:08:05,1979,Mixte,,M,,
MELBY,John,USA,Chor der steine,,0:09:35,1979,Numérique,,1,,
HEIFETZ,Robin Julian,USA,For anders lunberg : mardrom 29 30 10,,0:11:54,1979,Numérique,,2,,
ARFIB,Daniel,France,Le souffle du doux,,0:10:30,1979,Numérique,,M,,
MAC NABB,Michael,USA,Dreamsong,,0:09:10,1979,Numérique,,M,,
UNGVARY,Tamas,Suède,Akonel n°3,,0:10:00,1979,Numérique,,M,,
MERILAINEN,Usko,Finlande,Ku-gu-ku,,0:15:50,1979,Programme,,2,,
BRAUNINGER,Jurgen,Allemagne,Panta rhei,,0:11:40,1979,Programme,,M,,
MAZUREK,Bohdan,Pologne,Daisy story,,0:19:19,1979,Programme,,M,,
WESTERKAMP,Hildegard,Canada,Fantasie for horns,,0:13:00,1979,Programme,,M,,
DAOUST,Yves,Canada,Quatuor,,0:18:00,1980,Analogique,,1,,
PARMERUD,Ake,Suède,Time's imaginary eye,,0:19:45,1980,Analogique,,2,,
HARRISON,Jonty,Gde Bretagne,Pair / Impaire,,0:11:52,1980,Analogique,,M,,
DAOUST,Yves,Canada,Quatuor,,0:18:00,1980,Analogique,,Prix CIME,,
CLAPAUD,Charles,France,Mouvements et formes,,00:16:28,1980,Analogique,,M,,
KEANE,David,Canada,In Memorian: Hugh Le Cain,,0:16:30,1980,Analogique,,M,,
MANDOLINI,Ricardo,Argentine,"Fabulas , II parte",,0:10:23,1980,Analogique,,M,,
MATICIC,Janes,Yougoslavie,Fusions,,0:11:13,1980,Analogique,,M,,
DAOUST,Yves,Canada,Quatuor,,0:18:00,1980,Euphonies,,E,,
BARROSO,Sergio,Canada,Yantra IX (pour saxophone et bande),,0:16:00,1980,Mixte,,2,EA,
NEMESCU,Octavian,Roumanie,Concentrique (pour ensemble variable et bande),,0:16:10,1980,Mixte,,2,EA,
ZVONAR,Richard,USA,3 for 5,,0:23:00,1980,Mixte,,M,,
HARRISON,Jonty,Gde Bretagne,A Vent (pour hautbois et bande),,0:19:25,1980,Mixte,,M,,
ROLNICK,Neil,USA,Wondrous love,,0:10:00,1980,Mixte,,M,,
RISSET,Jean-Claude,France,Songes,,0:09:10,1980,Numérique,,1,,
RAMPAZZI,Tera,Italie,Atmen noch,,0:15:05,1980,Numérique,,2,,
