name,firstName,country,title,studio,duration,year,category,genre,award
SAUZA Nahuel Hernán,,Argentine,Gestual 1,,,2008,Résidence,,Résidence
KAFEJIAN Sergio,,Brésil,In Harmonica (for guitar and digital sounds),,,2008,Trivium,dispositif et instru.,Prix
TREMBLAY Pierre Alexandre,,Canada,"Walk That Way. Tuesday, Turn",,,2008,Quadrivium,Multimédia,Mention
ZHOU Yuan,,Chine,Colored Glaze for cello solo and disposal Electroacoustic,,,2008,Résidence,,Résidence
FORGET Georges,,France,Orages d'acier,,,2008,Résidence,,Résidence
TISSOT Gaël,,France,Affleure (pour piano et sons fixés),,,2008,Résidence,,Résidence
HARRISON Jonty,,Gde Bretagne,Internal Combustion,,,2008,Trivium,,Mention
MAHTANI Annie,,Gde Bretagne,Past Links,,,2008,Trivium,esthétique formelle,Mention
KOKORAS Panayiotis,,Grèce,"Morphallaxis (for amplified flute, percussion, cello and electronics)",,,2008,Trivium,dispositif et instru.,Mention
PALAMARES Niko,,Grèce,Higgs Kaleidoscope,,,2008,Résidence,,Résidence
MONACCHI David,,Italie,Echoes of a Sonic Habitat,,,2008,Quadrivium,art sonore électroa.,Mention
MURAT Valerio,,Italie,Les machines spirituelles,,,2008,Trivium,esthétique program.,Mention
SPEK Léon,,Pays-Bas,Koru,,,2008,Quadrivium,installation ou envir.,Mention
OLIVEIRA Joao Pedro,,Portugal,L'accordéon du Diable (pour accordéon et électroacoustique),,,2008,Magistère,,Magistère
KLAVERDAL Stefan,,Suède,Insyn,,,2008,Quadrivium,Multimédia,Prix
ALESSANDRINI Patricia,,USA,De  Profundis Clamavi  (for string quartet with live electronics),,,2008,Trivium,dispositif et instru.,Mention
ELLROTT Travis,,USA,In Pieces,,,2008,Résidence,,Résidence
PAYNE Maggi,,USA,Liquid Amber,,,2008,Quadrivium,Multimédia,Mention
ELDAGSEN Boris,,Allemagne,Spam the musical,,0:06:29,2009,Arts Électroniques,tendance netart,Mention
SCHUBERT A lexander,,Allemagne,Nachtschatten,,0:12:00,2009,Résidence,,Résidence
BIFFARELLA Gonzalo,,Argentine,Memoria de rituales cotidianos,,0:12:00,2009,Trivium,esthétique program.,Prix
KASEM Maria Christina,,Argentine,Las aguas abismales,,0:13:57,2009,Trivium,esthétique formelle,Prix
SAMARTZIS Philip,,Australie,Black habit,,0:22:16,2009,Quadrivium,art sonore électroa.,Mention
Todoroff Todor,,Belgique,De Deux Points de vue,,0:45:00,2009,Quadrivium,danse ou théâtre,Mention
Gauthier Thierry,,Canada,Cycles,,0:08:06,2009,Arts Électroniques,tendance création,Mention
GOBEIL Gilles,,Canada,Castalie,,0:10:34,2009,Trivium,esthétique program.,Mention
PAYEUR Emilie,,Canada,Etude claire et nette,,0:10:10,2009,Résidence,,Résidence
RIVAS Roque,,Chili,Mutations of matter,,0:14:00,2009,Arts Électroniques,tendance performance,Prix
LEE Zune,,Corée du Sud,A bottle of weather,,-,2009,Quadrivium,installation ou envir.,Mention
ARANDA PENA Jesus,,Espagne,Dr. Jekyll . Confesión,,0:12:48,2009,Résidence,,Résidence
JIMENEZ Gregorio,,Espagne,Le secret des petits sons,,0:14:52,2009,Trivium,esthétique formelle,Mention
BOURDIER Fabien,,France,React,,0:08:00,2009,Arts Électroniques,tendance création,Prix
Lefèvre Benoît,,France,Nuit d'ébène et d'ivoire,,0:11:04,2009,Résidence,,Résidence
Marteau Grégory,,France,Présence impalpable,,0:09:20,2009,Résidence,,Résidence
ADKINS Mathew,,Gde Bretagne,Five Panels,,0:46:35,2009,Arts Électroniques,tendance création,Mention
HINDMARCH David,,Gde Bretagne,Trebuchet,,0:13:00,2009,Trivium,esthétique formelle,Prix
REEDER Philip,,Gde Bretagne,Lynchpin,,0:11:11,2009,Résidence,,Résidence
ROSAS COBIAN Michael,,Gde Bretagne,Cantaor,,0:14:00,2009,Trivium,esthétique program.,Mention
KOKORAS Panayiotis,,Grèce,West Pole,,0:09:00,2009,Trivium,dispositif et instru.,Mention
CHIARAMONTE Antonino,,Italie,"Cut-up & grain, Chapter 1 : life",,0:21:38,2009,Arts Électroniques,tendance performance,Mention
Dall'osto Diego,,Italie,Tone,,0:13:24,2009,Quadrivium,danse ou théâtre,Prix
DE BONIS Valerio,,Italie,Arsi Meccanica,,0:05:17,2009,Quadrivium,art sonore électroa.,Mention
GEMINI Giampiero,,Italie,Danza Pitagorica,,0:08:00,2009,Quadrivium,Multimédia,Mention
UTO Yukari,,Japon,Equal,,0:08:00,2009,Arts Électroniques,tendance performance,Mention
SOLIS Hugo,,Mexique,Ojos Te Vean,,,2009,Arts Électroniques,tendance netart,Mention
BODY Jack,,Nlle Zélande,intimate portrait n°2: sssteve,,,2009,Trivium,esthétique program.,Prix
LILLIOS Elainie,,USA,Veiled Resonance,,0:14:10,2009,Trivium,dispositif et instru.,Prix
MILLER Dennis,,USA,Circles and Rounds,,0:09:20,2009,Quadrivium,Multimédia,Mention
